Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,CM_2x,ROI_2x,CM_3x,ROI_3x,CM_4x,ROI_4x,CM_5x,ROI_5x,CM_6x,ROI_6x,CM_7x,ROI_7x,CM_8x,ROI_8x
2/14/2024 2:58,Buy,49491.1,49487.14071,49962.21726,48794.32074,1,5:50:00,0:02:00,21.94716676,121947.1668,148556.8926,1.92,179579.6115,2.88,215889.674,3.84,258115.419,4.8,306900.6907,5.76,362890.9701,6.72,418349.6,7.68
2/14/2024 12:58,Sell,51715.8,51719.93726,51223.42587,52444.01639,1,2:56:00,0:27:00,23.11785956,123117.8596,151409.1849,1.92,184751.5043,2.88,224179.8375,3.84,270504.9591,4.8,324578.1705,5.76,387277.2433,6.72,450478.8493,7.68
2/16/2024 2:58,Sell,52160.7,52164.87286,51664.09008,52895.18108,1,6:11:00,0:00:00,24.29979101,124299.791,154316.2413,1.92,190072.3476,2.88,232788.3432,3.84,283489.1972,4.8,343273.8731,5.76,413302.274,6.72,485075.6249,7.68
2/17/2024 2:58,Buy,51953.6,51949.44371,52448.15837,51222.1515,-1,10:33:00,0:02:00,22.55959394,122559.5939,150057.113,-2.76,182203.3524,-4.14,219938.4267,-5.52,263928.4426,-6.9,314850.7964,-8.28,373377.2743,-9.66,430747.1549,-11.04
2/17/2024 18:58,Buy,51293.7,51289.5965,51781.97663,50571.54215,1,2:20:00,0:05:00,23.73616604,123736.166,152938.2096,1.92,187450.809,2.88,228384.0623,3.84,276597.0078,4.8,332986.2023,5.76,398468.2272,6.72,463828.5364,7.68
2/18/2024 3:58,Sell,51494.8,51498.91958,51004.52996,52219.90446,-1,18:15:00,0:00:00,22.00385972,122003.8597,148717.115,-2.76,179690.3455,-4.14,215777.262,-5.52,257511.8143,-6.9,305414.9448,-8.28,359976.1964,-9.66,411879.7403,-11.04
2/19/2024 1:58,Sell,52094.2,52098.36754,51598.22321,52827.74468,1,22:44:00,0:00:00,23.17509677,123175.0968,151572.4836,1.92,184865.4275,2.88,224063.1089,3.84,269872.3814,4.8,323006.8456,5.76,384166.5968,6.72,443512.1044,7.68
2/19/2024 20:58,Buy,51821.1,51816.95431,52314.39707,51091.51695,1,14:05:00,0:00:00,24.3575777,124357.5777,154482.6753,1.92,190189.5518,2.88,232667.1323,3.84,282826.2557,4.8,341612.0399,5.76,409982.5921,6.72,477573.834,7.68
2/21/2024 2:58,Sell,52090,52094.1672,51594.06319,52823.48554,1,4:09:00,0:00:00,25.55141044,125551.4104,157448.7427,1.92,195667.0109,2.88,241601.5502,3.84,296401.916,4.8,361288.8934,5.76,437533.4223,6.72,514251.5045,7.68
2/22/2024 10:58,Sell,51710,51714.1368,51217.68109,52438.13472,1,2:18:00,0:01:00,26.75670398,126756.704,160471.7585,1.92,201302.2208,2.88,250879.0497,3.84,310629.2079,4.8,382099.1336,5.76,466935.6683,6.72,553746.02,7.68
2/24/2024 7:58,Sell,51099.5,51103.58796,50612.99352,51819.03819,-1,18:04:00,0:02:00,24.98211013,124982.1101,156042.738,-2.76,192968.3088,-4.14,237030.5262,-5.52,289195.7926,-6.9,350461.3254,-8.28,421829.6828,-9.66,491726.4658,-11.04
2/25/2024 10:58,Sell,51617.9,51622.02943,51126.45795,52344.73784,1,22:15:00,0:08:00,26.18193839,126181.9384,159038.7586,1.92,198525.7961,2.88,246132.4984,3.84,303077.1906,4.8,370647.8977,5.76,450176.6374,6.72,529491.0584,7.68
2/26/2024 19:58,Sell,54439.8,54444.15518,53921.49129,55206.37336,-1,5:46:00,0:00:00,24.41539125,124415.3912,154649.2888,-2.76,190306.8282,-4.14,232545.9844,-5.52,282164.8645,-6.9,339958.2518,-8.28,406689.5743,-9.66,470188.0598,-11.04
2/27/2024 4:58,Sell,55712.5,55716.957,55182.07421,56496.9944,-1,1:47:00,0:00:00,22.67357577,122673.5758,150380.9685,-2.76,182428.1255,-4.14,219709.4461,-5.52,262695.4888,-6.9,311809.7085,-8.28,367403.3614,-9.66,417526.9971,-11.04
2/28/2024 15:58,Sell,60881.6,60886.47053,60301.96041,61738.88112,-1,0:36:00,0:00:00,20.95614571,120956.1457,146230.4537,-2.76,174875.6011,-4.14,207581.4847,-5.52,244569.5001,-6.9,285991.8647,-8.28,331912.1967,-9.66,370763.9734,-11.04
2/29/2024 18:58,Buy,60973,60968.12216,61553.41613,60114.56845,1,0:51:00,0:00:00,22.11732471,122117.3247,149038.0784,1.92,179912.0184,2.88,215552.6137,3.84,256308.8361,4.8,302464.9961,5.76,354216.6963,6.72,399238.6466,7.68
3/1/2024 0:58,Buy,61603.9,61598.97169,62190.32182,60736.58608,1,7:40:00,0:00:00,23.28965103,123289.651,151899.6095,1.92,185093.4845,2.88,223829.8341,3.84,268611.6602,4.8,319886.9798,5.76,378020.0583,6.72,429900.1747,7.68
3/1/2024 10:58,Buy,62075,62070.034,62665.90633,61201.05352,1,2:23:00,0:00:00,24.47323168,124473.2317,154816.082,1.92,190424.1769,2.88,232424.8997,3.84,281505.0199,4.8,338312.4699,5.76,403423.0062,6.72,462916.5081,7.68
3/1/2024 13:58,Buy,62483.4,62478.40133,63078.19398,61603.70371,-1,0:42:00,0:00:00,22.73060643,122730.6064,150543.1582,-2.76,182540.616,-4.14,219595.0452,-5.52,262081.1735,-6.9,310300.1974,-8.28,364452.3438,-9.66,411069.8592,-11.04
3/1/2024 21:58,Buy,62666.4,62661.38669,63262.936,61784.12727,-1,11:33:00,0:00:00,21.01237794,121012.3779,146388.167,-2.76,174983.4345,-4.14,207473.3987,-5.52,243997.5726,-6.9,284607.341,-8.28,329246.2474,-9.66,365030.0349,-11.04
3/2/2024 18:58,Sell,62082.3,62087.26658,61491.22882,62956.48832,1,12:30:00,0:00:00,22.17409677,122174.0968,149198.8198,1.92,180022.9574,2.88,215440.3772,3.84,255709.456,4.8,301000.7239,5.76,351371.5952,6.72,393064.3416,7.68
3/3/2024 21:58,Sell,62862.6,62867.62901,62264.09977,63747.77581,-1,2:30:00,0:00:00,20.46365942,120463.6594,145080.9324,-2.76,172570.0069,-4.14,203548.0684,-5.52,238065.5036,-6.9,276077.8639,-8.28,317429.0991,-9.66,349041.1354,-11.04
3/4/2024 10:58,Sell,65151.9,65157.11215,64531.60388,66069.31172,-1,3:40:00,0:00:00,18.77716818,118777.1682,141076.6987,-2.76,165425.6086,-4.14,192312.215,-5.52,221638.9838,-6.9,253218.6168,-8.28,286765.4481,-9.66,309948.5282,-11.04
3/4/2024 23:58,Buy,68320,68314.5344,68970.35393,67358.13092,-1,4:52:00,0:00:00,17.11428783,117114.2878,137182.9818,-2.76,158576.9884,-4.14,181696.5808,-5.52,206345.8939,-6.9,232252.1153,-8.28,259063.9059,-9.66,275234.293,-11.04
3/5/2024 12:58,Sell,67388.6,67393.99109,66747.00877,68337.50696,-1,1:45:00,0:00:00,15.4746878,115474.6878,133396.7315,-2.76,152011.9011,-4.14,171666.9295,-5.52,192108.0273,-6.9,213021.6402,-8.28,234038.3325,-9.66,244408.0522,-11.04
3/5/2024 22:58,Buy,63351.6,63346.53187,63954.65858,62459.68043,1,0:41:00,0:00:00,16.5832448,116583.2448,135957.9487,1.92,156389.8439,2.88,178258.9396,3.84,201329.2126,4.8,225291.6867,5.76,249765.7085,6.72,263178.5906,7.68
3/7/2024 16:58,Sell,67310.1,67315.48481,66669.25615,68257.9016,-1,21:33:00,0:00:00,14.95107938,114951.0794,132205.5093,-2.76,149915.3043,-4.14,168419.0461,-5.52,187437.4969,-6.9,206637.535,-8.28,225638.3411,-9.66,233702.5885,-11.04
3/8/2024 17:58,Sell,68505.5,68510.98044,67853.27503,69470.13417,1,3:58:00,0:00:00,16.05460974,116054.6097,134743.8551,1.92,154232.8651,2.88,174886.3375,3.84,196434.4968,4.8,218539.857,5.76,240801.2376,6.72,251650.9473,7.68
3/8/2024 22:58,Buy,68286.5,68281.03708,68936.53504,67325.10256,1,26:13:00,0:00:00,17.16873399,117168.734,137330.9371,1.92,158674.7716,2.88,181601.9729,3.84,205863.3526,4.8,231127.7528,5.76,256983.0807,6.72,270977.74,7.68
3/10/2024 3:58,Sell,69200.2,69205.73602,68541.36095,70174.61632,1,18:57:00,0:00:00,18.29355384,118293.5538,139967.6911,1.92,163244.605,2.88,188575.4886,3.84,215744.7935,4.8,244440.7113,5.76,274252.3438,6.72,291788.8305,7.68
3/11/2024 10:58,Sell,71580.1,71585.82641,70898.60247,72588.02798,-1,4:08:00,0:00:00,16.63744408,116637.4441,136104.5829,-2.76,156486.2784,-4.14,178166.1217,-5.52,200858.4028,-6.9,224201.0204,-8.28,247759.5674,-9.66,259108.4815,-11.04
3/12/2024 19:58,Sell,71402.5,71408.2122,70722.69336,72407.92717,1,0:34:00,0:01:00,17.75716355,117757.1635,138717.7908,1.92,160993.0832,2.88,185007.7007,3.84,210499.6061,4.8,237114.9992,5.76,264409.0103,6.72,279008.0128,7.68
3/13/2024 2:58,Buy,72043.1,72037.33655,72728.89498,71028.81384,1,3:36:00,0:02:00,18.88763232,118887.6323,141381.1724,1.92,165629.684,2.88,192111.9964,3.84,220603.5872,4.8,250772.8232,5.76,282177.2958,6.72,300435.8282,7.68
3/13/2024 5:58,Buy,72249.9,72244.12001,72937.66356,71232.70233,1,1:11:00,0:00:00,20.02895359,120028.9536,144095.6909,1.92,170399.8189,2.88,199489.0971,3.84,231192.5594,4.8,265217.3378,5.76,301139.6101,6.72,323509.2998,7.68
3/13/2024 21:58,Buy,73290.5,73284.63676,73988.16927,72258.65185,-1,15:36:00,0:00:00,18.34854824,118348.5482,140118.6499,-2.76,163345.2664,-4.14,188477.2989,-5.52,215240.2728,-6.9,243257.3422,-8.28,272049.5237,-9.66,287276.2582,-11.04
3/14/2024 18:58,Sell,70040.1,70045.70321,69373.26446,71026.34305,1,0:31:00,0:01:00,19.4846943,119484.6943,142808.9279,1.92,168049.6101,2.88,195714.8272,3.84,225571.8059,4.8,257268.9651,5.76,290331.2517,6.72,309339.0749,7.68
3/15/2024 6:58,Buy,68558.7,68553.2153,69211.32617,67593.47029,-1,1:43:00,0:03:00,17.81190858,117811.9086,138867.4015,-2.76,161092.3562,-4.14,184911.3688,-5.52,210007.3513,-6.9,235967.0948,-8.28,262285.2528,-9.66,274693.0985,-11.04
3/15/2024 22:58,Buy,69168.8,69163.2665,69827.23385,68194.98077,1,1:08:00,0:00:00,18.9429029,118942.9029,141533.6556,1.92,165731.8161,2.88,192011.9653,3.84,220087.7041,4.8,249558.7995,5.76,279910.8218,6.72,295789.5285,7.68
