Date,calculated_tp,Optimized TP,calculated_sl,Optimized SL,calculated_percentage_change,Percentage Change
7/23/2024 0:00,0.002063,0.004,0.001641,0.005,0.000139,0.0007
7/23/2024 5:00,0.001865,0.003,0.001426,0.012,0.00012,0.0014
7/25/2024 23:00,0.001308,0.004,0.001029,0.003,0.000087,0.0003
7/26/2024 17:00,0.001152,0.013,0.000878,0.008,0.000073,0.0002
7/27/2024 11:00,0.00096,0.01,0.000746,0.003,0.000063,0.0014
7/27/2024 13:00,0.004437,0.013,0.003549,0.003,0.000302,0.0013
7/27/2024 15:00,0.002782,0.013,0.002159,0.009,0.000182,0.0006
7/27/2024 17:00,0.001157,0.013,0.00089,0.013,0.000075,0.0002
7/28/2024 5:00,0.003143,0.013,0.002407,0.009,0.000203,0.001
7/29/2024 0:00,0.00837,0.008,0.006637,0.003,0.000563,0.0005
7/29/2024 20:00,0.001578,0.004,0.001217,0.007,0.000102,0.0011
7/30/2024 16:00,0.001427,0.013,0.00115,0.005,0.000098,0.0007
7/31/2024 22:00,0.001998,0.013,0.001574,0.011,0.000133,0.0005
