Date,Start Date,End Date,Total Trades,Wins,Losses,WinRate,Final NAV,Daily Return,TP,SL,Entry Time Offset,Percentage Change
2024-06-13 04:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999995,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-13 16:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999995,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-14 16:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.029240109999997,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-14 17:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.029240109999997,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-16 11:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-0.4548896715808365,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-16 17:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-0.4548896715808365,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-17 04:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999922,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-17 12:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999922,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-18 02:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,0.0,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-18 16:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,0.0,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-20 18:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999873,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
