Signal Strength: Strong,,,,,,,,,,,,,,,,,,,,,,,,,
Order Execution: Immediately,,,,,,,,,,,,,,,,,,,,,,,,,
Investment,100000,,,,,,,,,,,,,,,,,,,,,,,,
Leverage,1,,,,,,,,,,,Jan,Feb,Mar,Apr,May,June,Total,,,,,,,
TP,0.009,,,,,,,,,,,,,,,,,,,,,,,,
SL,-0.0142,,,,,,,,,,,,,,,,,,,,,,,,
date,time,side,result,return,nav,cum_roi,bars 15,duration m,duration H,,Total Trades,38,27,45,37,38,32,217,,0,1,1,1,1,0
27-Mar,23,Buy,1,0.90%,107372.7927,7.37%,29,435,7.25,,,,,,,,,,,,,,,,
28-Mar,12,Sell,1,0.90%,108339.1479,8.34%,72,1080,18,,,,,,,,,,,,,,,,
28-Mar,20,Buy,0,-1.42%,106800.732,6.80%,54,810,13.5,,,,,,,,,,,,,,,,
30-Mar,0,Buy,1,0.90%,107761.9386,7.76%,119,1785,29.75,,,,,,,,,,,,,,,,
30-Mar,17,Sell,1,0.90%,108731.796,8.73%,34,510,8.5,,,,,,,,,,,,,,,,
31-Mar,8,Sell,1,0.90%,109710.3822,9.71%,87,1305,21.75,,,,,,,,,,,,,,,,
1-Apr,6,Buy,1,0.90%,110697.7756,10.70%,4,60,1,,,,,,,,,,,,,,,,
3-Apr,16,Sell,1,0.90%,111694.0556,11.69%,49,735,12.25,,,,,,,,,,,,,,,,
4-Apr,0,Buy,1,0.90%,112699.3021,12.70%,48,720,12,,,,,,,,,,,,,,,,
5-Apr,2,Buy,0,-1.42%,111098.972,11.10%,13,195,3.25,,,,,,,,,,,,,,,,
5-Apr,19,Buy,1,0.90%,112098.8628,12.10%,80,1200,20,,,,,,,,,,,,,,,,
6-Apr,8,Sell,0,-1.42%,110507.0589,10.51%,59,885,14.75,,,,,,,,,,,,,,,,
7-Apr,1,Sell,0,-1.42%,108937.8587,8.94%,61,915,15.25,,,,,,,,,,,,,,,,
8-Apr,9,Sell,1,0.90%,109918.2994,9.92%,22,330,5.5,,,,,,,,,,,,,,,,
10-Apr,20,Buy,1,0.90%,110907.5641,10.91%,9,135,2.25,,,,,,,,,,,,,,,,
11-Apr,4,Sell,1,0.90%,111905.7322,11.91%,30,450,7.5,,,,,,,,,,,,,,,,
11-Apr,21,Buy,1,0.90%,112912.8838,12.91%,31,465,7.75,,,,,,,,,,,,,,,,
12-Apr,9,Sell,1,0.90%,113929.0997,13.93%,16,240,4,,,,,,,,,,,,,,,,
12-Apr,21,Buy,0,-1.42%,112311.3065,12.31%,19,285,4.75,,,,,,,,,,,,,,,,
13-Apr,0,Sell,1,0.90%,113322.1083,13.32%,4,60,1,,,,,,,,,,,,,,,,
13-Apr,20,Buy,0,-1.42%,111712.9343,11.71%,1,15,0.25,,,,,,,,,,,,,,,,
14-Apr,0,Sell,1,0.90%,112718.3507,12.72%,1,15,0.25,,,,,,,,,,,,,,,,
14-Apr,5,Sell,1,0.90%,113732.8159,13.73%,48,720,12,,,,,,,,,,,,,,,,
15-Apr,7,Buy,0,-1.42%,112117.8099,12.12%,28,420,7,,,,,,,,,,,,,,,,
15-Apr,20,Sell,1,0.90%,113126.8702,13.13%,5,75,1.25,,,,,,,,,,,,,,,,
17-Apr,12,Buy,0,-1.42%,111520.4686,11.52%,9,135,2.25,,,,,,,,,,,,,,,,
17-Apr,16,Sell,1,0.90%,112524.1528,12.52%,1,15,0.25,,,,,,,,,,,,,,,,
18-Apr,15,Buy,0,-1.42%,110926.3099,10.93%,11,165,2.75,,,,,,,,,,,,,,,,
19-Apr,15,Sell,1,0.90%,111924.6467,11.92%,5,75,1.25,,,,,,,,,,,,,,,,
20-Apr,2,Buy,1,0.90%,112931.9685,12.93%,11,165,2.75,,,,,,,,,,,,,,,,
20-Apr,20,Sell,1,0.90%,113948.3562,13.95%,82,1230,20.5,,,,,,,,,,,,,,,,
21-Apr,20,Sell,0,-1.42%,112330.2895,12.33%,21,315,5.25,,,,,,,,,,,,,,,,
22-Apr,15,Buy,1,0.90%,113341.2621,13.34%,9,135,2.25,,,,,,,,,,,,,,,,
23-Apr,4,Sell,1,0.90%,114361.3335,14.36%,30,450,7.5,,,,,,,,,,,,,,,,
24-Apr,21,Sell,1,0.90%,115390.5855,15.39%,53,795,13.25,,,,,,,,,,,,,,,,
25-Apr,8,Buy,0,-1.42%,113752.0392,13.75%,26,390,6.5,,,,,,,,,,,,,,,,
25-Apr,21,Buy,0,-1.42%,112136.7602,12.14%,65,975,16.25,,,,,,,,,,,,,,,,
26-Apr,20,Sell,1,0.90%,113145.9911,13.15%,18,270,4.5,,,,,,,,,,,,,,,,
27-Apr,4,Buy,1,0.90%,114164.305,14.16%,55,825,13.75,,,,,,,,,,,,,,,,
27-Apr,12,Sell,0,-1.42%,112543.1719,12.54%,59,885,14.75,,,,,,,,,,,,,,,,
28-Apr,8,Sell,1,0.90%,113556.0604,13.56%,9,135,2.25,,,,,,,,,,,,,,,,
29-Apr,4,Buy,1,0.90%,114578.065,14.58%,41,615,10.25,,,,,,,,,,,,,,,,
30-Apr,3,Sell,1,0.90%,115609.2675,15.61%,10,150,2.5,,,,,,,,,,,,,,,,
2-May,9,Buy,1,0.90%,116649.751,16.65%,9,135,2.25,,,,,,,,,,,,,,,,
3-May,0,Buy,1,0.90%,117699.5987,17.70%,8,120,2,,,,,,,,,,,,,,,,
3-May,5,Buy,1,0.90%,118758.8951,18.76%,30,450,7.5,,,,,,,,,,,,,,,,
3-May,12,Sell,0,-1.42%,117072.5188,17.07%,3,45,0.75,,,,,,,,,,,,,,,,
4-May,11,Sell,1,0.90%,118126.1715,18.13%,3,45,0.75,,,,,,,,,,,,,,,,
5-May,11,Sell,0,-1.42%,116448.7798,16.45%,85,1275,21.25,,,,,,,,,,,,,,,,
5-May,18,Buy,1,0.90%,117496.8188,17.50%,57,855,14.25,,,,,,,,,,,,,,,,
6-May,4,Buy,1,0.90%,118554.2902,18.55%,9,135,2.25,,,,,,,,,,,,,,,,
7-May,5,Buy,1,0.90%,119621.2788,19.62%,13,195,3.25,,,,,,,,,,,,,,,,
8-May,8,Buy,1,0.90%,120697.8703,20.70%,27,405,6.75,,,,,,,,,,,,,,,,
8-May,20,Sell,1,0.90%,121784.1512,21.78%,1,15,0.25,,,,,,,,,,,,,,,,
9-May,15,Sell,0,-1.42%,120054.8162,20.05%,4,60,1,,,,,,,,,,,,,,,,
10-May,12,Buy,0,-1.42%,118350.0378,18.35%,9,135,2.25,,,,,,,,,,,,,,,,
11-May,0,Sell,0,-1.42%,116669.4673,16.67%,161,2415,40.25,,,,,,,,,,,,,,,,
12-May,1,Buy,1,0.90%,117719.4925,17.72%,59,885,14.75,,,,,,,,,,,,,,,,
12-May,20,Sell,1,0.90%,118778.9679,18.78%,29,435,7.25,,,,,,,,,,,,,,,,
13-May,10,Sell,1,0.90%,119847.9786,19.85%,2,30,0.5,,,,,,,,,,,,,,,,
14-May,4,Sell,1,0.90%,120926.6105,20.93%,8,120,2,,,,,,,,,,,,,,,,
15-May,11,Buy,1,0.90%,122014.9499,22.01%,6,90,1.5,,,,,,,,,,,,,,,,
