Datetime,Signal
10/12/2023 2:58,-2
10/13/2023 10:58,-2
10/14/2023 3:58,2
10/14/2023 10:58,-2
10/14/2023 18:58,2
10/14/2023 22:58,2
10/15/2023 2:58,2
10/16/2023 6:58,2
10/16/2023 10:58,2
10/16/2023 16:58,-2
10/16/2023 22:58,-2
10/17/2023 18:58,2
10/18/2023 17:58,-2
10/18/2023 22:58,2
10/19/2023 18:58,2
10/20/2023 13:58,-2
10/21/2023 18:58,2
10/22/2023 6:58,-2
10/22/2023 10:58,-2
10/22/2023 18:58,-2
10/23/2023 2:58,-2
10/23/2023 17:58,2
10/24/2023 4:58,-2
10/25/2023 13:58,-2
10/26/2023 6:58,-2
10/26/2023 18:58,2
10/26/2023 21:58,2
10/27/2023 15:58,-2
10/28/2023 1:58,2
10/28/2023 10:58,-2
10/29/2023 2:58,-2
10/29/2023 18:58,-2
10/30/2023 6:58,2
10/31/2023 6:58,2
11/1/2023 2:58,-2
11/1/2023 20:58,-2
11/2/2023 18:58,2
11/4/2023 2:58,2
11/5/2023 10:58,-2
11/6/2023 2:58,-2
11/6/2023 10:58,2
11/7/2023 2:58,2
11/8/2023 2:58,-2
11/8/2023 22:58,-2
11/9/2023 10:58,-2
11/9/2023 14:58,-2
11/9/2023 23:58,-2
11/10/2023 2:58,-2
11/12/2023 2:58,-2
11/12/2023 21:58,-2
11/13/2023 10:58,2
11/14/2023 2:58,2
11/14/2023 18:58,-2
11/17/2023 2:58,2
11/18/2023 10:58,-2
11/20/2023 2:58,-2
11/21/2023 2:58,2
11/22/2023 2:58,-2
11/22/2023 10:58,2
11/23/2023 10:58,-2
11/23/2023 23:58,2
11/24/2023 14:58,-2
11/25/2023 2:58,2
11/26/2023 17:58,-2
11/27/2023 1:58,2
11/27/2023 10:58,2
11/27/2023 14:58,2
11/27/2023 18:58,2
11/29/2023 2:58,2
12/1/2023 9:58,-2
12/2/2023 5:58,2
12/3/2023 2:58,-2
12/4/2023 1:58,-2
12/4/2023 22:58,2
12/5/2023 17:58,2
12/6/2023 10:58,2
12/7/2023 2:58,2
12/8/2023 2:58,-2
12/9/2023 2:58,2
12/10/2023 16:58,-2
12/11/2023 10:58,2
12/12/2023 21:58,-2
12/13/2023 2:58,-2
12/13/2023 10:58,2
12/14/2023 2:58,2
12/15/2023 2:58,-2
12/16/2023 2:58,2
12/16/2023 10:58,-2
12/16/2023 18:58,-2
12/17/2023 10:58,-2
12/17/2023 18:58,2
12/18/2023 10:58,2
12/19/2023 10:58,-2
12/20/2023 10:58,2
12/21/2023 10:58,-2
12/21/2023 12:58,-2
12/22/2023 2:58,2
12/22/2023 10:58,-2
12/24/2023 2:58,2
12/24/2023 7:58,-2
12/25/2023 10:58,-2
12/26/2023 2:58,-2
12/27/2023 1:58,2
12/28/2023 4:58,-2
12/28/2023 10:58,-2
12/29/2023 10:58,2
12/30/2023 9:58,-2
